[-27.87765121  29.22941971   1.32249057],[-27.96784019  29.23248863   1.32453537],[-28.16320419  29.25463676   1.32863402],[-27.90878677  28.88149071   1.1274662 ]
[-30.68324661  22.6069622    1.25915253],[-30.78194809  22.45805359   1.25918651],[-30.8624115   22.36912537   1.25921798],[-30.66787148  22.43999481   1.07812595]
[-41.08242798  -3.06831074   1.33959377],[-40.59510422  -3.36783671   1.13296747],[-40.49367523  -3.1647687    1.1309557 ],[-40.52233505  -3.41471219   1.32502401]
[-3.00957108 17.20281029  0.60270083],[-2.66163015 17.50475311  0.60866439],[-2.59626627 17.44173622  0.60664034],[-2.5631628  17.38174629  0.47262409]
[16.00857544 12.09235477  0.66369468],[16.14480209 12.14835644  0.51269114],[16.18819809 12.10038471  0.51270008],[15.902215   12.29024601  0.66466099]
[ -5.07665396 -20.28070068   0.69297439],[ -4.64703035 -19.89953423   0.68200123],[ -4.59643173 -19.96552086   0.68301493],[ -4.65490961 -19.91457367   0.42200154]
[ -5.68286085 -19.56987      0.6808092 ],[ -5.73698997 -19.20586586   0.67376578],[ -5.78858137 -19.15888023   0.67275274],[ -5.68716002 -19.132864     0.51976722]
[ -5.35845423 -19.94877815   0.68689811],[ -4.92782831 -19.58460808   0.67692959],[ -4.85442591 -19.68158913   0.67894983],[ -4.98530436 -19.5356617    0.41891626]
[ -4.07504082 -21.45042801   0.71423614],[ -3.60082006 -21.12826729   0.70526516],[ -3.65442777 -21.04727936   0.70325005],[ -3.62555075 -21.03129387   0.54025209]
[ 1.48791587 11.84458733  0.38634995],[ 1.77951622 12.17461681  0.24236277],[ 1.8492974  12.11463165  0.24235499],[ 1.81689942 12.20160198  0.39236307]
[-6.65730143 -8.87183285  0.38487187],[-6.39244795 -8.52365398  0.32291877],[-6.36485338 -8.54264832  0.32292512],[-6.35214996 -8.57467365  0.19592862]
[ 2.3537519  11.37079239  0.38129154],[ 2.35158753 11.44478226  0.3822957 ],[ 2.40000725 11.49178505  0.38329753],[ 2.34241581 11.4767828   0.32229766]
[-6.80668211 -8.69384861  0.38483226],[-6.48763561 -8.39965725  0.32289502],[-6.46204281 -8.42165375  0.32290116],[-6.47992325 -8.43668556  0.19589767]
[-0.76060635 -9.68024635  0.31229526],[-0.41446173 -9.70029736  0.31226522],[-0.38388959 -9.69830132  0.31226194],[-0.42917779 -9.56629753  0.24325302]
